mass_A
t,x,y,v_{x},v_{y}
8.141666667E0,-6.453091473E-2,2.373190567E-2,,
8.150000000E0,-6.395159959E-2,2.315259052E-2,8.110412026E-2,-8.110412026E-2
8.158333333E0,-6.317917940E-2,2.238017033E-2,1.042767260E-1,-1.274493318E-1
8.166666667E0,-6.221365416E-2,2.102843499E-2,1.274493318E-1,-1.622082405E-1
8.175000000E0,-6.105502387E-2,1.967669965E-2,1.506219376E-1,-2.085534521E-1
8.183333333E0,-5.970328853E-2,1.755254412E-2,1.969671492E-1,-2.548986637E-1
8.191666667E0,-5.777223805E-2,1.542838859E-2,3.591753897E-1,-3.475890868E-1
8.200000000E0,-5.371703203E-2,1.175939267E-2,3.823479955E-1,-3.360027839E-1
8.208333333E0,-5.139977145E-2,9.828342192E-3,3.591753897E-1,-2.433123608E-1
8.216666667E0,-4.773077554E-2,7.704186662E-3,5.097973274E-1,-2.896575724E-1
8.225000000E0,-4.290314933E-2,5.000715986E-3,5.097973274E-1,-2.664849666E-1
8.233333333E0,-3.923415341E-2,3.262770552E-3,5.677288418E-1,-2.433123608E-1
8.241666667E0,-3.344100197E-2,9.455099734E-4,6.256603563E-1,-1.506219376E-1
8.250000000E0,-2.880648081E-2,7.524049252E-4,5.677288418E-1,-4.634521158E-2
8.258333333E0,-2.397885460E-2,1.730897805E-4,2.989266147E0,2.317260579E-2
8.266666667E0,2.101462164E-2,1.138615022E-3,3.070370267E0,9.269042316E-2
8.275000000E0,2.719398318E-2,1.717930166E-3,6.256603563E-1,8.110412026E-2
8.283333333E0,3.144229424E-2,2.490350359E-3,6.140740534E-1,1.042767260E-1
8.291666667E0,3.742855074E-2,3.455875601E-3,6.024877505E-1,1.622082405E-1
8.300000000E0,4.148375675E-2,5.193821035E-3,3.823479955E-1,1.853808463E-1
8.308333333E0,4.380101733E-2,6.545556372E-3,3.360027839E-1,1.853808463E-1
8.316666667E0,4.708380315E-2,8.283501807E-3,4.055206013E-1,1.969671492E-1
8.325000000E0,5.055969402E-2,9.828342192E-3,3.591753897E-1,2.085534521E-1
8.333333333E0,5.307005964E-2,1.175939267E-2,3.360027839E-1,2.780712695E-1
8.341666667E0,5.615974042E-2,1.446286335E-2,2.780712695E-1,2.433123608E-1
8.350000000E0,5.770458080E-2,1.581459869E-2,2.085534521E-1,1.969671492E-1
8.358333333E0,5.963563128E-2,1.774564917E-2,2.085534521E-1,1.969671492E-1
8.366666667E0,6.118047167E-2,1.909738451E-2,1.274493318E-1,1.274493318E-1
8.375000000E0,6.175978682E-2,1.986980470E-2,6.951781737E-2,1.158630289E-1
8.383333333E0,6.233910196E-2,2.102843499E-2,5.793151447E-2,1.042767260E-1
8.391666667E0,6.272531206E-2,2.160775014E-2,2.317260579E-2,3.475890868E-2
8.400000000E0,6.272531206E-2,2.160775014E-2,-1.158630289E-2,-3.475890868E-2
8.408333333E0,6.253220701E-2,2.102843499E-2,-3.475890868E-2,-6.951781737E-2
8.416666667E0,6.214599691E-2,2.044911985E-2,-4.634521158E-2,-8.110412026E-2
8.425000000E0,6.175978682E-2,1.967669965E-2,-8.110412026E-2,-1.042767260E-1
8.433333333E0,6.079426157E-2,1.871117441E-2,-1.506219376E-1,-1.622082405E-1
8.441666667E0,5.924942119E-2,1.697322898E-2,-2.548986637E-1,-2.317260579E-1
8.450000000E0,5.654595051E-2,1.484907345E-2,-2.780712695E-1,-2.433123608E-1
8.458333333E0,5.461490003E-2,1.291802296E-2,-2.780712695E-1,-2.780712695E-1
8.466666667E0,5.191142936E-2,1.021455229E-2,-3.707616926E-1,-3.128301781E-1
8.475000000E0,4.843553849E-2,7.704186662E-3,-4.750384187E-1,-2.664849666E-1
8.483333333E0,4.399412238E-2,5.773136179E-3,-4.982110245E-1,-1.969671492E-1
8.491666667E0,4.013202141E-2,4.421400842E-3,-4.286932071E-1,-1.506219376E-1
8.500000000E0,3.684923559E-2,3.262770552E-3,-4.750384187E-1,-1.622082405E-1
8.508333333E0,3.221471443E-2,1.717930166E-3,-5.561425389E-1,-1.506219376E-1
8.516666667E0,2.758019328E-2,7.524049252E-4,-5.909014476E-1,-6.951781737E-2
8.525000000E0,2.236635697E-2,5.592998769E-4,-3.070370267E0,-2.317260579E-2
8.533333333E0,-2.359264451E-2,3.661948287E-4,-3.081956570E0,2.317260579E-2
8.541666667E0,-2.899958586E-2,9.455099734E-4,-5.097973274E-1,4.634521158E-2
