mass_A
t,x,y,v_{x},v_{y}
8.141666667E0,-1.290618295E1,4.746381133E0,,
8.150000000E0,-1.279031992E1,4.630518104E0,1.622082405E1,-1.622082405E1
8.158333333E0,-1.263583588E1,4.476034066E0,2.085534521E1,-2.548986637E1
8.166666667E0,-1.244273083E1,4.205686998E0,2.548986637E1,-3.244164810E1
8.175000000E0,-1.221100477E1,3.935339931E0,3.012438753E1,-4.171069042E1
8.183333333E0,-1.194065771E1,3.510508824E0,3.939342984E1,-5.097973274E1
8.191666667E0,-1.155444761E1,3.085677718E0,7.183507795E1,-6.951781737E1
8.200000000E0,-1.074340641E1,2.351878535E0,7.646959910E1,-6.720055679E1
8.208333333E0,-1.027995429E1,1.965668438E0,7.183507795E1,-4.866247216E1
8.216666667E0,-9.546155107E0,1.540837332E0,1.019594655E2,-5.793151447E1
8.225000000E0,-8.580629866E0,1.000143197E0,1.019594655E2,-5.329699331E1
8.233333333E0,-7.846830683E0,6.525541105E-1,1.135457684E2,-4.866247216E1
8.241666667E0,-6.688200393E0,1.891019947E-1,1.251320713E2,-3.012438753E1
8.250000000E0,-5.761296162E0,1.504809850E-1,1.135457684E2,-9.269042316E0
8.258333333E0,-4.795770921E0,3.461795609E-2,5.978532294E2,4.634521158E0
8.266666667E0,4.202924327E0,2.277230043E-1,6.140740534E2,1.853808463E1
8.275000000E0,5.438796636E0,3.435860333E-1,1.251320713E2,1.622082405E1
8.283333333E0,6.288458848E0,4.980700719E-1,1.228148107E2,2.085534521E1
8.291666667E0,7.485710147E0,6.911751201E-1,1.204975501E2,3.244164810E1
8.300000000E0,8.296751350E0,1.038764207E0,7.646959910E1,3.707616926E1
8.308333333E0,8.760203466E0,1.309111274E0,6.720055679E1,3.707616926E1
8.316666667E0,9.416760630E0,1.656700361E0,8.110412026E1,3.939342984E1
8.325000000E0,1.011193880E1,1.965668438E0,7.183507795E1,4.171069042E1
8.333333333E0,1.061401193E1,2.351878535E0,6.720055679E1,5.561425389E1
8.341666667E0,1.123194808E1,2.892572670E0,5.561425389E1,4.866247216E1
8.350000000E0,1.154091616E1,3.162919738E0,4.171069042E1,3.939342984E1
8.358333333E0,1.192712626E1,3.549129834E0,4.171069042E1,3.939342984E1
8.366666667E0,1.223609433E1,3.819476902E0,2.548986637E1,2.548986637E1
8.375000000E0,1.235195736E1,3.973960940E0,1.390356347E1,2.317260579E1
8.383333333E0,1.246782039E1,4.205686998E0,1.158630289E1,2.085534521E1
8.391666667E0,1.254506241E1,4.321550027E0,4.634521158E0,6.951781737E0
8.400000000E0,1.254506241E1,4.321550027E0,-2.317260579E0,-6.951781737E0
8.408333333E0,1.250644140E1,4.205686998E0,-6.951781737E0,-1.390356347E1
8.416666667E0,1.242919938E1,4.089823969E0,-9.269042316E0,-1.622082405E1
8.425000000E0,1.235195736E1,3.935339931E0,-1.622082405E1,-2.085534521E1
8.433333333E0,1.215885231E1,3.742234882E0,-3.012438753E1,-3.244164810E1
8.441666667E0,1.184988424E1,3.394645795E0,-5.097973274E1,-4.634521158E1
8.450000000E0,1.130919010E1,2.969814689E0,-5.561425389E1,-4.866247216E1
